137753,1403
116474,16018
126399,17860
125669,11519
49231,11353
12460,7165
86810,4027
153065,11129
134482,11648
59927,8393
126959,6568
132690,5057
102777,17697
88221,3750
17276,12080
47208,6548
142998,9588
156826,14757
100062,3988
103146,15431
16207,6693
103516,268
150917,6104
38579,773
100772,14467
136033,9787
62324,6761
152880,11120
60231,5912
131959,3750
145233,2502
6400,7249
120001,8356
126858,15164
111221,3195
43954,3032
54775,932
77018,13138
113848,4973
50906,9462
135672,13415
3993,9378
52981,4924
105328,11711
40869,15753
112553,9990
80653,13284
68228,13628
148981,8047
146985,6736
115699,10788
17895,2233
38646,1365
141453,5989
35697,4146
6785,15868
107786,15272
134067,6266
54034,16854
100104,8173
71196,6942
152247,4156
100972,12505
86236,11307
68118,13575
138125,12806
45519,17325
94579,16359
158711,16670
131346,16877
9183,10607
71815,12048
105830,1232
106510,17269
67815,12511
109086,13661
131868,10730
79357,12339
75026,4647
43751,8575
80200,17321
133103,15435
418,6197
15375,17823
38428,13412
107609,336
70245,16327
86423,8300
120961,8145
11536,4375
114979,4196
89118,13356
115081,10081
153444,8318
137069,6877
59501,14357
101609,7344
59059,8567
738,1154
110420,585
108439,17186
30434,8527
100071,14489
124746,11267
1860,7599
109157,17006
103298,14228
103385,16394
135348,3319
156418,11077
71867,10755
20389,8243
93112,6458
20822,14891
130677,9221
5245,9214
93046,10907
126331,12842
5170,374
80432,17973
157659,8707
81867,11718
13764,1394
138629,5767
136643,3201
3617,187
22965,2407
69869,16181
49136,5439
70168,15375
86019,5350
63201,5334
132557,16507
158400,5448
123053,9314
108599,10200
39420,4035
71471,13346
114705,6686
81557,12237
116912,13153
94182,4960
146004,6651
81612,14318
152298,5482
113332,4632
52831,14413
92679,5228
146535,14710
28945,7019
112037,4225
148777,17731
107918,1506
77476,13782
157326,16515
86633,1705
78029,5154
93585,10798
50098,14527
141059,6096
90836,313
29593,13015
3868,12394
50971,1899
36345,14345
84582,1348
27298,4728
12212,6309
90637,16925
31598,12191
20459,5895
19752,16622
23668,16424
74783,7109
105812,14389
7470,15086
94497,3137
109240,14672
54130,11910
146366,413
138696,3584
78974,12196
159209,6257
109261,3400
94599,531
79596,3135
4414,1857
69410,2074
68601,7917
48375,11811
78627,2958
42835,3940
35800,6429
86199,15986
39412,15375
47899,17473
97677,16720
97439,14668
83799,13744
69341,514
50619,13377
57959,431
6727,7604
130664,11975
46105,196
29551,10845
95942,1121
41410,1564
110027,6412
82229,8713
39994,17952
117450,6990
62897,11348
17317,755
69925,986
9469,16265
61711,13483
52814,14133
127312,3784
155986,11685
157354,11128
2548,10244
88111,6924
110125,17096
113243,13795
49166,15802
119448,12831
137984,2356
61881,4291
22344,3788
150047,16272
54722,4859
139099,4031
99913,15241
122967,11112
90339,3831
105695,9135
3715,13832
146556,9766
83590,16201
60504,10379
25107,7459
122276,1616
15431,4403
142346,2496
102035,6002
71383,4900
55311,12119
83867,12734
130023,8558
35591,17663
76023,11395
72816,6461
72687,6706
85812,15331
37570,15690
138793,4605
116720,10521
61721,9012
9975,10661
144456,17894
110956,1832
142925,3023
125827,11803
53145,1104
73091,14990
74960,1075
34948,8574
138955,3486
44560,14576
46271,7424
150453,8119
146914,12718
73948,13769
98460,2867
91773,10448
96050,1944
53231,2874
80627,3573
94492,5334
82290,4890
